date,  description
03-01-2000,  New Year's Day
21-04-2000,  Good Friday
24-04-2000,  Easter Monday
01-05-2000,  Early May Bank Holiday (May Day)
29-05-2000,  Late May Bank Holiday
28-08-2000,  August Bank Holiday
25-12-2000,  Christmas Day
26-12-2000,  Boxing Day
01-01-2001,  New Year's Day
13-04-2001,  Good Friday
16-04-2001,  Easter Monday
07-05-2001,  Early May Bank Holiday (May Day)
28-05-2001,  Late May Bank Holiday
27-08-2001,  August Bank Holiday
25-12-2001,  Christmas Day
26-12-2001,  Boxing Day
01-01-2002,  New Year's Day
29-03-2002,  Good Friday
01-04-2002,  Easter Monday
06-05-2002,  Early May Bank Holiday (May Day)
03-06-2002,  Golden Jubilee of Elizabeth II
04-06-2002,  Late May Bank Holiday
26-08-2002,  August Bank Holiday
25-12-2002,  Christmas Day
26-12-2002,  Boxing Day
01-01-2003,  New Year's Day
18-04-2003,  Good Friday
21-04-2003,  Easter Monday
05-05-2003,  Early May Bank Holiday (May Day)
26-05-2003,  Late May Bank Holiday
25-08-2003,  August Bank Holiday
25-12-2003,  Christmas Day
26-12-2003,  Boxing Day
01-01-2004,  New Year's Day
09-04-2004,  Good Friday
12-04-2004,  Easter Monday
03-05-2004,  Early May Bank Holiday (May Day)
31-05-2004,  Late May Bank Holiday
30-08-2004,  August Bank Holiday
25-12-2004,  Christmas Day
26-12-2004,  Boxing Day
27-12-2004,  Substitute day for Christmas Day
28-12-2004,  Substitute day for Boxing Day
03-01-2005,  New Year's Day
25-03-2005,  Good Friday
28-03-2005,  Easter Monday
02-05-2005,  Early May Bank Holiday (May Day)
30-05-2005,  Late May Bank Holiday
29-08-2005,  August Bank Holiday
25-12-2005,  Christmas Day
26-12-2005,  Boxing Day
27-12-2005,  Substitute day for Christmas Day
02-01-2006,  New Year's Day
14-04-2006,  Good Friday 
17-04-2006,  Easter Monday
01-05-2006,  Early May Bank Holiday (May Day)
29-05-2006,  Late May Bank Holiday
28-08-2006,  August Bank Holiday
25-12-2006,  Christmas Day
26-12-2006,  Boxing Day
01-01-2007,  New Year's Day
06-04-2007,  Good Friday
09-04-2007,  Easter Monday 
07-05-2007,  Early May Bank Holiday (May Day)
28-05-2007,  Late May Bank Holiday 
27-08-2007,  August Bank Holiday 
25-12-2007,  Christmas Day 
26-12-2007,  Boxing Day
01-01-2008,  New Year's Day
21-03-2008,  Good Friday
24-03-2008,  Easter Monday
05-05-2008,  Early May Bank Holiday (May Day)
26-05-2008,  Late May Bank Holiday
25-08-2008,  August Bank Holiday
25-12-2008,  Christmas Day 
26-12-2008,  Boxing Day
01-01-2009,  New Year's Day 
10-04-2009,  Good Friday
13-04-2009,  Easter Monday
04-05-2009,  Early May Bank Holiday (May Day)
25-05-2009,  Late May Bank Holiday
31-08-2009,  August Bank Holiday
25-12-2009,  Christmas Day 
26-12-2009,  Boxing Day 
28-12-2009,  Substitute day for Boxing Day 
01-01-2010,  New Year's Day 
02-04-2010,  Good Friday England an Wales, Northern Ireland 
03-05-2010,  Early May Bank Holiday (May Day) 
31-05-2010,  Late May Bank Holiday 
30-08-2010,  August Bank Holiday 
25-12-2010,  Christmas Day 
26-12-2010,  Boxing Day 
27-12-2010,  Substitute day for Christmas Day 
28-12-2010,  Substitute day for Boxing Day 
03-01-2011,  New Year's Day 
22-04-2011,  Good Friday 
25-04-2011,  Easter Monday 
29-04-2011,  The wedding of Prince William and Catherine Middleton 
02-05-2011,  Early May Bank Holiday (May Day) 
30-05-2011,  Late May Bank Holiday 
29-08-2011,  August Bank Holiday 
25-12-2011,  Christmas Day 
26-12-2011,  Boxing Day 
27-12-2011,  Substitute day for Christmas Day 
02-01-2012,  New Year's Day 
06-04-2012,  Good Friday 
09-04-2012,  Easter Monday 
07-05-2012,  Early May Bank Holiday (May Day) 
04-06-2012,  Late May Bank Holiday 
05-06-2012,  Diamond Jubilee of Elizabeth II 
27-08-2012,  August Bank Holiday 
25-12-2012,  Christmas Day 
26-12-2012,  Boxing Day 
01-01-2013,  New Year's Day 
29-03-2013,  Good Friday 
01-04-2013,  Easter Monday 
06-05-2013,  Early May Bank Holiday (May Day) 
27-05-2013,  Late May Bank Holiday 
26-08-2013,  August Bank Holiday 
25-12-2013,  Christmas Day 
26-12-2013,  Boxing Day
01-01-2014,  New Year's Day 
18-04-2014,  Good Friday 
21-04-2014,  Easter Monday 
05-05-2014,  Early May Bank Holiday (May Day) 
26-05-2014,  Late May Bank Holiday 
25-08-2014,  August Bank Holiday 
25-12-2014,  Christmas Day 
26-12-2014,  Boxing Day 
01-01-2015,  New Year's Day 
03-04-2015,  Good Friday 
06-04-2015,  Easter Monday 
04-05-2015,  Early May Bank Holiday (May Day) 
25-05-2015,  Late May Bank Holiday 
31-08-2015,  August Bank Holiday 
25-12-2015,  Christmas Day 
26-12-2015,  Boxing Day 
28-12-2015,  Substitute day for Boxing Day 
01-01-2016,  New Year's Day 
25-03-2016,  Good Friday 
28-03-2016,  Easter Monday 
02-05-2016,  Early May Bank Holiday (May Day) 
30-05-2016,  Late May Bank Holiday
29-08-2016,  August Bank Holiday 
25-12-2016,  Christmas Day 
26-12-2016,  Boxing Day 
27-12-2016,  Substitute day for Christmas Day 
02-01-2017,  New Year's Day 
14-04-2017,  Good Friday 
17-04-2017,  Easter Monday 
01-05-2017,  Early May Bank Holiday (May Day) 
29-05-2017,  Late May Bank Holiday 
28-08-2017,  August Bank Holiday 
25-12-2017,  Christmas Day 
26-12-2017,  Boxing Day 
01-01-2018,  New Year's Day 
30-03-2018,  Good Friday 
02-04-2018,  Easter Monday 
07-05-2018,  Early May Bank Holiday (May Day) 
28-05-2018,  Late May Bank Holiday 
27-08-2018,  August Bank Holiday 
25-12-2018,  Christmas Day 
26-12-2018,  Boxing Day 
01-01-2019,  New Year's Day 
19-04-2019,  Good Friday
22-04-2019,  Easter Monday 
06-05-2019,  Early May Bank Holiday (May Day)
27-05-2019,  Late May Bank Holiday 
26-08-2019,  August Bank Holiday 
25-12-2019,  Christmas Day 
26-12-2019,  Boxing Day
01-01-2020,  New Year's Day 
10-04-2020,  Good Friday
13-04-2020,  Easter Monday
08-05-2020,  Early May Bank Holiday (May Day)
25-05-2020,  Late May Bank Holiday 
31-08-2020,  August Bank Holiday
25-12-2020,  Christmas Day 
26-12-2020,  Boxing Day 
28-12-2020,  Substitute day for Boxing Day 
01-01-2021,  New Year's Day
02-04-2021,  Good Friday 
05-04-2021,  Easter Monday
03-05-2021,  Early May Bank Holiday (May Day) 
31-05-2021,  Late May Bank Holiday 
30-08-2021,  August Bank Holiday 
25-12-2021,  Christmas Day 
26-12-2021,  Boxing Day 
27-12-2021,  Substitute day for Christmas Day 
28-12-2021,  Substitute day for Boxing Day 
03-01-2022,  New Year's Day 
15-04-2022,  Good Friday
18-04-2022,  Easter Monday 
02-05-2022,  Early May Bank Holiday (May Day) 
02-06-2022,  Late May Bank Holiday 
03-06-2022,  Platinum Jubilee of Elizabeth II 
29-08-2022,  August Bank Holiday 
25-12-2022,  Christmas Day 
26-12-2022,  Boxing Day 
27-12-2022,  Substitute day for Christmas Day 
02-01-2023,  New Year's Day
07-04-2023,  Good Friday 
10-04-2023,  Easter Monday 
01-05-2023,  Early May Bank Holiday (May Day) 
29-05-2023,  Late May Bank Holiday 
28-08-2023,  August Bank Holiday 
25-12-2023,  Christmas Day
26-12-2023,  Boxing Day 
01-01-2024,  New Year's Day 
29-03-2024,  Good Friday 
01-04-2024,  Easter Monday 
06-05-2024,  Early May Bank Holiday (May Day) 
27-05-2024,  Late May Bank Holiday 
26-08-2024,  August Bank Holiday 
25-12-2024,  Christmas Day 
26-12-2024,  Boxing Day 
01-01-2025,  New Year's Day 
18-04-2025,  Good Friday 
21-04-2025,  Easter Monday 
05-05-2025,  Early May Bank Holiday (May Day)
26-05-2025,  Late May Bank Holiday 
25-08-2025,  August Bank Holiday 
25-12-2025,  Christmas Day 
26-12-2025,  Boxing Day 
01-01-2026,  New Year's Day 
02-01-2026,  2nd January 
03-04-2026,  Good Friday 
06-04-2026,  Easter Monday 
04-05-2026,  Early May Bank Holiday (May Day) 
25-05-2026,  Late May Bank Holiday 
31-08-2026,  August Bank Holiday 
25-12-2026,  Christmas Day 
26-12-2026,  Boxing Day 
28-12-2026,  Substitute day for Boxing Day 
01-01-2027,  New Year's Day 
26-03-2027,  Good Friday 
29-03-2027,  Easter Monday
03-05-2027,  Early May Bank Holiday (May Day) 
31-05-2027,  Late May Bank Holiday 
25-12-2027,  Christmas Day 
26-12-2027,  Boxing Day 
27-12-2027,  Substitute day for Christmas Day 
28-12-2027,  Substitute day for Boxing Day 